證券代號,股本
3167,8.8505172
3168,7.5099649
3189,52.692596
3209,23.5391189
3229,6.4263
3231,318.041225
3257,7.982359
3266,35.2314309
3296,9.672445
3305,14.37039
3308,6.0
3311,10.0
3312,18.2626815
3321,8.6113769
3338,8.7908141
3346,12.1228352
3356,7.9941672
3376,19.5763822
3380,54.171846
3406,11.2743063
3413,11.057098
3416,8.0491983
3419,12.0480417
3432,4.223
3437,14.4548
3443,13.4011911
3447,7.744912
3450,14.5681382
3481,798.9197337
3494,9.48
3501,11.8257927
3504,11.4059785
3515,12.3544049
3518,10.266223
3528,6.6639216
3530,7.74759
3532,38.78483
3533,11.2534691
3535,7.9052356
3543,11.026315
3545,22.1151215
3550,10.755
3557,8.4315435
3563,6.3960858
3576,162.7795375
3583,8.033126
3588,6.1993182
3591,14.5386835
3592,7.5855226
3593,6.0825449
3596,22.0354321
3605,16.2353086
3607,12.1662239
3617,9.4766049
3622,15.13276
3645,13.6754207
3652,7.50975
3653,14.6732803
3661,8.1534015
3665,19.5078405
3669,9.291995
3673,40.6663759
3679,6.3022229
3686,7.6495118
3694,15.4929208
3701,23.6542246
3702,167.9056833
3703,82.321598
3704,41.544497
3705,26.6422983
3706,132.7212468
3708,9.7267193
3711,446.0833082
3712,24.6242146
3714,73.794046
3715,28.3574584
3716,14.9765614
3717,20.7845445
4104,18.8367456
4106,10.0911557
4108,19.8618879
4119,11.9508634
4133,6.0553594
4137,8.249235
4142,42.950775
4148,6.7235701
4155,14.4814164
4164,19.5310989
4169,6.6431612
4190,6.1444112
4306,67.6757216
4414,26.3795773
4426,17.2677198
4438,11.3425455
4439,3.8112187
4440,6.7598
4441,6.8175578
4526,25.4826461
4532,49.4895105
4536,9.082
4540,11.5186724
4545,7.7
4551,11.5222498
4552,11.6
4555,6.9987653
4557,4.797184
4560,6.809724
4562,8.7546
4564,23.2788303
4566,10.9954742
4569,3.06
4571,5.3017115
4572,4.0
4576,11.9801848
4581,3.3899
4583,8.0171351
4585,10.4609
4588,4.2985
4590,5.48384
4720,11.4516037
4722,10.1851159
4736,9.5374469
4737,7.7285253
4739,12.4649269
4746,12.0255963
4755,10.0706
4763,9.8914667
